X,Y,FID,OBJECTID,RANK,NAME,ADDRESS,ADDRESS2,CITY,STATES,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,PRC,COUNTYFIPS,PROFIT
-89.85831,35.10565,451,451,58,FEDEX,942 SOUTH SHADY GROVE ROAD,NOT AVAILABLE,MEMPHIS,TN,38120,SHELBY,335767,50365,35.10565,-89.85831,ADDRESS,47157,1820
-89.84948,35.10015,452,452,133,INTERNATIONAL PAPER,6400 POPLAR AVENUE,NOT AVAILABLE,MEMPHIS,TN,38197,SHELBY,55000,21079,35.10015,-89.84948,ADDRESS,47157,904
-77.05759,42.14462,453,453,298,CORNING,1 RIVERFRONT PLAZA,NOT AVAILABLE,CORNING,NY,14831,STEUBEN,40700,9390,42.14462,-77.05759,ADDRESS,36101,3695
-71.05899,42.35306,454,454,271,STATE STREET CORP.,1 LINCOLN STREET,NOT AVAILABLE,BOSTON,MA,2111,SUFFOLK,33783,10635,42.35306,-71.05899,ADDRESS,25023,2143
-71.07977,42.34652,455,455,449,AMERICAN TOWER,116 HUNTINGTON AVENUE,FLOOR 11,BOSTON,MA,2116,SUFFOLK,4507,5786,42.34652,-71.07977,ADDRESS,25023,956.4
-71.07208,42.35006,456,456,75,LIBERTY MUTUAL INSURANCE GROUP,175 BERKELEY STREET,NOT AVAILABLE,BOSTON,MA,2116,SUFFOLK,50000,38308,42.35006,-71.07208,ADDRESS,25023,1006
-82.54941,36.53579,457,457,309,EASTMAN CHEMICAL,200 SOUTH WILCOX DRIVE,NOT AVAILABLE,KINGSPORT,TN,37660,SULLIVAN,14000,9008,36.53579,-82.54941,ADDRESS,47163,854
-81.518515,41.083253,458,458,196,FIRSTENERGY,76 SOUTH MAIN STREET,NOT AVAILABLE,AKRON,OH,44308,SUMMIT,15707,14156,41.083253,-81.518515,ON-ENTITY,39153,-6177
-81.47725,41.05943,459,459,184,GOODYEAR TIRE & RUBBER,200 INNOVATION WAY,NOT AVAILABLE,AKRON,OH,44316,SUMMIT,66000,15158,41.05943,-81.47725,ADDRESS,39153,1264
-97.08751,32.90274,460,460,321,GAMESTOP,625 WESTPORT PARKWAY,NOT AVAILABLE,GRAPEVINE,TX,76051,TARRANT,41750,8608,32.90274,-97.08751,ADDRESS,48439,353.2
-97.33065,32.75605,461,461,232,D.R. HORTON,301 COMMERCE STREET,NOT AVAILABLE,FORT WORTH,TX,76102,TARRANT,6976,12157,32.75605,-97.33065,ADDRESS,48439,886.3
-97.05058,32.82564,462,462,67,AMERICAN AIRLINES GROUP,4333 AMON CARTER BOULEVARD,NOT AVAILABLE,FORT WORTH,TX,76155,TARRANT,122300,40180,32.82564,-97.05058,ADDRESS,48439,2676
-97.64599,30.43797,463,463,228,ARCONIC,1007 SOUTH HEATHERWILDE BOULEVARD,SUITE 700,AUSTIN,TX,78660,TRAVIS,41500,12394,30.43797,-97.64599,ADDRESS,48453,-941
-97.75277,30.27086,464,464,176,WHOLE FOODS MARKET,550 BOWIE STREET,NOT AVAILABLE,AUSTIN,TX,78703,TRAVIS,73515,15724,30.27086,-97.75277,ADDRESS,48453,507
-95.99153,36.15043,465,465,312,ONEOK,100 WEST 5TH STREET,NOT AVAILABLE,TULSA,OK,74103,TULSA,2384,8921,36.15043,-95.99153,ADDRESS,40143,352
-95.92557,36.07226,466,466,237,NGL ENERGY PARTNERS,6120 SOUTH YALE AVENUE,NOT AVAILABLE,TULSA,OK,74136,TULSA,3200,11742,36.07226,-95.92557,ADDRESS,40143,-198.9
-95.99151,36.15435,467,467,367,WILLIAMS,1 WILLIAMS CENTER,NOT AVAILABLE,TULSA,OK,74172,TULSA,5604,7499,36.15435,-95.99151,ADDRESS,40143,-424
-74.30522,40.69729,468,468,233,BED BATH & BEYOND,650 LIBERTY AVENUE,NOT AVAILABLE,UNION,NJ,7083,UNION,62000,12104,40.69729,-74.30522,ADDRESS,34039,841.5
